,Course,Year,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
7448,21-301,2018,9.69,4.67,4.06,4.67,4.92,4.58,4.5
7449,21-301,2019,10.31,4.62,4.33,4.78,4.87,4.87,4.46
7450,21-302,2016,3.0,4.67,4.0,4.67,4.67,4.33,4.33
7451,21-302,2018,4.14,3.57,2.71,3.43,4.71,3.14,3.14
7452,21-320,2009,,,,,,3.5,3.33
7453,21-320,2010,,4.0,4.25,3.85,4.6,3.9,4.0
7454,21-320,2011,,4.08,3.92,4.0,4.42,3.92,4.0
7455,21-320,2012,,4.75,4.75,4.75,4.88,4.57,4.75
7456,21-320,2013,,4.19,4.0,3.81,4.25,4.06,3.94
7457,21-320,2014,,4.0,3.67,3.73,4.47,4.0,3.67
7458,21-320,2015,8.0,4.6,3.8,3.8,4.6,4.2,4.4
7459,21-320,2016,6.5,4.33,4.5,4.17,4.67,4.17,4.17
7460,21-320,2017,8.3,4.5,4.5,4.4,4.8,4.4,4.6
7461,21-325,2010,,3.5,3.38,3.38,4.5,3.5,3.38
7462,21-325,2011,,3.57,3.21,3.64,4.36,3.5,3.36
7463,21-325,2012,,3.67,3.14,3.19,4.1,3.19,3.19
7464,21-325,2013,,3.67,3.38,3.67,4.33,3.58,3.54
7465,21-325,2014,10.91,3.68,3.0,3.95,4.14,3.55,3.64
7466,21-325,2015,11.275,4.29,3.985,4.29,4.665,4.35,4.1
7467,21-325,2016,9.42,4.175,4.035,4.22,4.47,4.195,4.22
7468,21-325,2017,10.81,4.38,4.0,4.25,4.63,4.19,4.25
7469,21-325,2018,11.0,3.65,3.7,3.95,4.0,3.7,3.65
7470,21-325,2019,11.56,4.75,4.31,4.38,4.94,4.31,4.0
7471,21-329,2010,,4.67,4.33,4.67,5.0,5.0,4.67
7472,21-329,2011,,4.4,3.8,4.53,4.47,4.14,4.07
7473,21-329,2012,,3.89,3.67,4.56,4.44,4.22,4.22
7474,21-329,2013,,4.0,3.67,4.67,3.5,4.0,3.83
7475,21-329,2014,,3.83,4.67,4.67,4.83,4.0,4.0
7476,21-329,2015,8.9,4.55,3.55,4.45,4.82,4.45,4.45
7477,21-329,2016,8.0,4.25,2.5,4.0,2.25,2.75,2.5
7478,21-329,2017,11.0,3.0,2.8,3.2,1.8,2.4,2.6
7479,21-329,2018,7.53,4.79,4.68,4.89,4.79,4.89,4.89
7480,21-329,2019,13.75,4.5,4.5,4.88,4.75,4.75,4.88
7481,21-341,2009,,,,,,3.72,3.56
7482,21-341,2010,,3.805,3.55,3.685,4.390000000000001,3.57,3.5
7483,21-341,2011,,4.075,3.6799999999999997,4.2,4.55,4.125,4.1
7484,21-341,2012,,3.8850000000000002,3.9450000000000003,4.045,4.385,4.015,3.87
7485,21-341,2013,,4.2,3.935,4.285,4.45,4.21,3.935
7486,21-341,2014,9.2,4.04,3.185,4.335,4.525,4.2,3.805
7487,21-341,2015,8.795,4.21,3.675,3.835,4.345000000000001,4.04,4.04
7488,21-341,2016,8.475,4.46,4.16,4.3149999999999995,4.615,4.265000000000001,4.225
7489,21-341,2017,8.17,4.445,4.109999999999999,4.555,4.725,4.33,4.22
7490,21-341,2018,9.15,4.6899999999999995,4.425,4.775,4.9,4.775,4.725
7491,21-341,2019,8.0,4.2,4.4,4.2,4.8,4.0,4.0
7492,21-344,2019,6.8,4.8,4.8,4.6,4.9,4.8,4.5
7493,21-350,2010,,4.42,3.75,3.92,4.75,3.58,3.83
7494,21-350,2011,,3.7199999999999998,4.23,4.125,4.47,3.71,3.83
7495,21-350,2012,,4.07,3.71,3.79,4.14,3.57,3.43
7496,21-350,2013,,4.14,3.29,3.29,4.29,3.14,3.29
7497,21-350,2014,5.6,4.0,3.87,3.71,4.2,3.67,3.87
7498,21-350,2016,4.5,3.5,2.83,3.17,3.5,3.0,3.33
7499,21-355,2009,,,,,,3.67,3.67
7500,21-355,2010,,4.545,4.325,4.655,4.5600000000000005,4.66,4.465
7501,21-355,2011,,4.5,4.1,4.29,4.63,4.42,4.38
7502,21-355,2012,,4.2,4.09,4.11,4.67,4.0,4.0
7503,21-355,2013,,4.33,4.16,4.33,4.47,4.33,4.0
7504,21-355,2014,11.23,3.72,3.44,4.08,4.0,3.76,3.72
7505,21-355,2015,9.29,4.0,3.75,4.13,4.33,4.13,3.94
7506,21-355,2016,10.2,4.47,3.67,4.29,4.75,4.0,3.86
7507,21-355,2017,9.5,4.6,4.505,4.445,4.85,4.445,4.385
7508,21-355,2018,9.165,4.65,4.470000000000001,4.63,4.785,4.5649999999999995,4.4399999999999995
7509,21-355,2019,9.0,4.4,4.2,4.4,4.6,4.2,4.2
7510,21-356,2009,,,,,,4.46,4.21
7511,21-356,2010,,4.36,4.18,4.36,4.36,4.27,4.18
7512,21-356,2011,,4.52,4.13,4.42,4.45,4.42,4.16
7513,21-356,2012,,4.5,4.21,4.75,4.79,4.71,4.5
7514,21-356,2013,,4.19,3.92,4.04,4.46,3.81,3.65
7515,21-356,2014,,4.42,4.37,4.53,4.79,4.37,4.32
7516,21-356,2015,9.96,4.7,4.43,4.7,4.7,4.48,4.48
7517,21-356,2016,8.085,4.84,4.63,4.8149999999999995,4.87,4.71,4.734999999999999
7518,21-356,2017,8.325,4.215,4.695,4.85,4.85,4.76,4.175
7519,21-356,2018,9.895,4.295,4.005,4.0649999999999995,4.615,4.045,4.015000000000001
7520,21-356,2019,10.0,4.67,4.08,4.5,4.92,4.25,4.17
7521,21-365,2009,,,,,,5.0,4.75
7522,21-365,2015,11.0,5.0,5.0,5.0,5.0,5.0,5.0
7523,21-366,2009,,,,,,4.75,4.0
7524,21-366,2010,,4.8149999999999995,4.715,4.915,5.0,4.8149999999999995,4.734999999999999
7525,21-366,2011,,4.71,3.785,4.71,5.0,4.335,4.335
7526,21-366,2012,,4.21,3.585,4.415,4.265000000000001,4.21,4.25
7527,21-366,2013,,4.9,4.45,4.5,4.75,5.0,4.75
7528,21-366,2014,17.0,4.75,4.0,4.75,4.75,4.75,4.75
7529,21-366,2015,6.09,4.7,4.27,4.08,4.75,4.1,4.2
7530,21-366,2017,4.1,4.9,4.4,4.6,4.9,4.7,4.6
7531,21-366,2018,7.234999999999999,4.475,4.18,4.425000000000001,4.72,4.425000000000001,4.380000000000001
7532,21-369,2009,,,,,,3.39,3.39
7533,21-369,2010,,3.8049999999999997,3.385,3.825,4.425,3.5999999999999996,3.66
7534,21-369,2011,,4.055,3.6550000000000002,3.9699999999999998,4.58,3.8099999999999996,3.695
7535,21-369,2012,,3.885,3.58,3.875,4.41,3.545,3.37
7536,21-369,2013,,4.09,4.1,4.21,4.705,4.045,3.87
7537,21-369,2014,7.5,3.4749999999999996,2.965,3.05,4.045,2.95,2.885
7538,21-369,2015,7.9750000000000005,4.3100000000000005,4.045,4.06,4.63,4.215,4.16
7539,21-369,2016,7.195,4.73,4.77,4.595000000000001,4.865,4.655,4.6
7540,21-369,2017,8.21,4.88,4.0,4.5,4.88,4.63,4.63
7541,21-369,2018,9.2,4.8,4.6,4.93,4.93,4.93,4.87
7542,21-369,2019,8.0,4.67,4.67,5.0,5.0,4.33,4.33
7543,21-370,2010,,4.18,3.57,3.85,4.48,3.57,3.71
7544,21-370,2011,,4.25,3.96,4.43,4.5,4.18,4.22
7545,21-370,2012,,4.38,4.1,4.24,4.52,4.17,4.24
7546,21-370,2013,,3.76,3.38,3.52,4.29,3.43,3.43
7547,21-370,2014,7.7,4.1,3.55,4.3,4.6,3.94,3.85
7548,21-370,2015,8.81,4.42,4.5,4.46,4.77,4.31,4.27
7549,21-370,2016,8.38,4.0,3.75,3.81,4.31,3.69,3.75
7550,21-370,2017,8.285,4.33,4.17,4.275,4.595,4.1899999999999995,4.175
7551,21-370,2018,9.035,4.27,4.48,4.305,5.0,4.23,4.16
7552,21-371,2010,,4.78,4.0,4.56,4.78,4.22,4.33
7553,21-371,2011,,4.5,4.0,4.75,5.0,4.5,4.25
7554,21-371,2012,,4.0,4.13,4.25,4.5,4.13,4.0
7555,21-371,2013,,4.57,4.14,4.0,4.57,4.17,4.0
7556,21-371,2014,5.0,5.0,4.5,4.5,5.0,4.5,4.5
7557,21-371,2015,8.43,4.57,3.86,4.57,4.86,4.0,4.14
7558,21-371,2016,8.0,4.5,3.83,4.33,4.83,4.67,4.5
7559,21-371,2017,8.75,4.5,3.25,3.75,4.75,3.75,4.0
7560,21-371,2018,8.0,4.67,4.67,4.67,4.67,4.67,4.33
7561,21-372,2009,,,,,,4.25,4.0
7562,21-372,2010,,3.4,2.6,3.0,4.2,2.8,2.8
7563,21-372,2011,,4.0,3.0,3.75,4.25,3.5,3.5
7564,21-372,2012,,4.33,4.22,4.22,4.67,4.22,4.0
7565,21-372,2013,,4.8,4.8,4.8,4.8,4.8,4.8
7566,21-372,2014,,5.0,4.63,5.0,4.88,5.0,4.88
7567,21-373,2009,,,,,,4.15,4.31
7568,21-373,2010,,3.83,3.67,3.57,4.17,3.48,3.43
7569,21-373,2011,,4.555,3.705,4.609999999999999,4.605,4.359999999999999,4.395
7570,21-373,2012,,4.1,3.79,4.145,4.475,3.925,3.965
7571,21-373,2013,,3.95,3.86,3.89,4.38,3.48,3.47
7572,21-373,2014,9.835,4.67,4.78,4.67,4.67,4.67,4.67
7573,21-373,2015,8.43,3.93,3.83,4.17,4.43,4.17,4.0
7574,21-373,2016,8.825,4.575,4.34,4.49,4.715,4.465,4.465
7575,21-373,2017,9.475,4.5649999999999995,3.9299999999999997,4.275,4.615,4.0,3.98
7576,21-373,2018,8.19,4.31,4.06,3.87,4.65,3.73,4.0
7577,21-373,2019,8.0,4.55,3.73,4.36,4.55,4.36,4.27
7578,21-374,2009,,,,,,,1.0
7579,21-374,2010,,4.67,4.67,5.0,5.0,4.67,4.67
7580,21-374,2012,,4.0,3.0,4.14,4.43,4.0,3.86
7581,21-374,2014,,4.22,3.56,4.11,4.67,3.89,4.0
7582,21-374,2015,7.25,5.0,5.0,5.0,5.0,4.75,4.75
7583,21-374,2016,9.29,3.86,3.29,3.86,3.57,4.0,4.0
7584,21-374,2017,8.75,5.0,4.0,4.5,4.75,4.5,4.5
7585,21-374,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
7586,21-374,2019,5.0,4.5,3.5,4.5,5.0,4.5,4.5
7587,21-375,2010,,3.75,2.5,4.0,4.5,3.5,3.75
7588,21-375,2012,,4.75,3.75,4.29,4.63,4.25,3.88
7589,21-375,2013,,5.0,5.0,5.0,5.0,4.88,4.63
7590,21-378,2015,9.29,4.57,4.29,4.43,4.71,4.43,4.43
7591,21-378,2016,10.21,5.0,5.0,5.0,5.0,5.0,5.0
7592,21-378,2017,9.0,5.0,4.9,4.81,4.9,4.76,4.86
7593,21-378,2018,8.38,4.38,3.75,3.13,4.88,3.63,3.75
7594,21-393,2010,,3.3,3.3,3.4,3.8,3.4,3.3
7595,21-393,2011,,3.5,3.1,3.3,4.0,3.3,3.4
7596,21-393,2012,,3.21,3.21,3.43,4.0,3.21,3.29
7597,21-393,2013,,3.8,4.0,3.8,4.2,3.8,3.8
7598,21-393,2014,7.58,4.25,4.0,4.17,4.5,4.08,4.08
7599,21-393,2015,6.0,3.89,3.84,3.79,4.37,3.63,3.63
7600,21-393,2016,7.13,4.63,4.54,4.67,4.83,4.54,4.58
7601,21-393,2017,5.75,3.38,3.38,3.13,3.88,3.0,3.13
7602,21-393,2018,7.77,3.54,3.31,3.69,4.38,3.38,3.62
7603,21-400,2014,,4.5,4.5,4.0,5.0,4.0,4.0
7604,21-400,2019,6.5,5.0,4.75,5.0,5.0,5.0,5.0
7605,21-420,2009,,,,,,3.09,3.0
7606,21-420,2010,,3.96,3.42,3.38,3.96,3.54,3.74
7607,21-420,2011,,3.5,3.0,3.32,4.05,3.23,3.23
7608,21-420,2012,,4.75,4.5,4.75,4.75,4.83,4.83
7609,21-420,2013,,3.8,3.5,3.45,3.85,3.55,3.5
7610,21-420,2014,,4.25,3.94,3.73,4.13,4.07,4.07
7611,21-420,2015,10.6,4.67,4.07,4.27,4.6,4.4,4.33
7612,21-420,2016,10.47,4.59,4.65,4.82,4.82,4.76,4.59
7613,21-420,2017,11.14,4.45,4.0,3.82,4.59,3.95,4.0
7614,21-420,2018,11.15,4.5,4.3,4.35,4.65,4.45,4.4
7615,21-420,2019,9.85,4.85,4.38,4.69,4.92,4.62,4.54
7616,21-435,2018,10.5,4.83,4.67,4.83,5.0,4.83,4.67
7617,21-441,2010,,3.92,3.62,3.62,4.23,3.38,3.62
7618,21-441,2011,,3.33,2.89,3.44,4.22,2.89,3.44
7619,21-441,2012,,3.84,3.875,3.775,4.75,4.04,3.715
7620,21-441,2013,,3.88,3.5,3.63,4.38,3.38,3.86
7621,21-441,2014,8.0,4.445,4.08,4.08,4.835,3.9800000000000004,4.035
7622,21-441,2015,9.2,4.8,4.6,4.0,5.0,4.2,4.4
7623,21-441,2016,9.5,4.0,3.86,3.14,4.57,2.86,3.43
7624,21-441,2017,7.145,4.855,4.785,4.785,4.93,4.785,4.855
7625,21-441,2018,7.4,4.6,4.09,4.36,4.4,4.55,4.27
7626,21-465,2009,,,,,,4.67,4.67
7627,21-465,2012,,3.0,5.0,3.0,2.0,5.0,5.0
7628,21-465,2017,8.0,5.0,5.0,5.0,5.0,5.0,5.0
7629,21-469,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7630,21-470,2010,,4.75,4.5,5.0,5.0,5.0,4.75
7631,21-470,2011,,5.0,4.89,4.89,5.0,5.0,5.0
7632,21-470,2012,,4.0,5.0,4.0,5.0,4.0,4.0
7633,21-470,2013,,5.0,4.0,4.0,5.0,4.0,4.0
7634,21-470,2014,,5.0,4.75,4.88,5.0,5.0,4.88
7635,21-470,2015,9.0,4.83,4.5,5.0,5.0,4.83,4.83
7636,21-470,2016,7.5,5.0,4.875,4.625,5.0,4.75,4.75
7637,21-476,2010,,5.0,5.0,4.5,5.0,4.5,5.0
7638,21-476,2011,,3.6,3.4,4.0,4.0,3.8,4.0
7639,21-476,2012,,3.67,4.33,3.67,4.33,3.33,3.33
7640,21-476,2013,,4.0,5.0,4.0,5.0,4.0,4.0
7641,21-476,2017,7.0,4.67,5.0,4.67,5.0,4.33,4.67
7642,21-484,2009,,,,,,3.64,3.61
7643,21-484,2010,,4.31,3.87,4.0,4.52,3.96,4.35
7644,21-484,2011,,4.04,4.37,3.78,3.995,3.95,3.9799999999999995
7645,21-484,2012,,4.335,3.2350000000000003,3.915,4.25,3.6550000000000002,3.6500000000000004
7646,21-484,2013,,4.62,4.455,4.49,4.3100000000000005,4.33,4.234999999999999
7647,21-484,2014,,4.5,3.88,4.56,4.69,4.25,4.31
7648,21-484,2015,10.25,4.17,4.31,4.0,4.75,3.67,4.0
7649,21-484,2016,10.370000000000001,4.44,4.245,4.49,4.57,4.265000000000001,4.21
7650,21-484,2017,9.715,4.575,3.925,4.475,4.8100000000000005,4.33,4.33
7651,21-484,2018,12.25,4.8,4.45,4.65,4.35,4.9,4.65
7652,21-484,2019,10.35,4.43,4.17,4.5,4.65,4.35,4.5
7653,21-499,2010,,5.0,5.0,4.0,5.0,4.0,5.0
7654,21-499,2011,,4.0,4.125,4.0,4.125,4.0,4.0
7655,21-499,2012,,4.67,4.5,3.83,4.83,4.5,4.83
7656,21-499,2013,,5.0,5.0,5.0,5.0,5.0,5.0
7657,21-499,2014,8.5,4.915,4.165,4.25,4.915,4.5,4.835
7658,21-499,2015,7.0,5.0,4.75,5.0,5.0,4.75,4.5
7659,21-499,2016,8.25,4.79,4.5,4.5,4.835,4.79,4.5
7660,21-499,2017,5.75,4.625,4.335,4.29,4.625,4.46,4.46
7661,21-499,2019,11.0,5.0,5.0,5.0,5.0,5.0,4.78
7662,21-600,2010,,3.54,3.62,4.08,4.0,3.69,3.77
7663,21-600,2011,,3.86,3.71,4.29,4.14,3.43,3.71
7664,21-600,2012,,4.0,3.8,3.8,4.0,3.2,3.4
7665,21-602,2010,,4.25,4.0,4.25,4.5,4.0,4.0
7666,21-602,2011,,5.0,4.67,5.0,5.0,5.0,5.0
7667,21-602,2012,,5.0,2.0,4.0,5.0,4.0,5.0
7668,21-602,2013,,2.75,2.75,2.25,3.5,2.0,3.25
7669,21-602,2014,11.0,3.8,3.4,4.6,4.2,3.6,3.6
7670,21-602,2015,17.0,5.0,3.0,5.0,5.0,4.0,5.0
7671,21-602,2016,12.0,4.67,5.0,4.67,5.0,4.67,4.67
7672,21-602,2017,17.0,5.0,5.0,5.0,5.0,5.0,5.0
7673,21-602,2018,15.0,4.5,3.5,3.75,4.5,3.75,3.75
7674,21-603,2010,,4.25,4.25,4.5,4.75,4.5,4.5
7675,21-603,2011,,5.0,3.67,4.33,5.0,4.67,4.33
7676,21-603,2012,,4.0,4.0,5.0,5.0,5.0,5.0
7677,21-603,2013,,4.43,4.29,4.57,4.43,4.57,4.71
7678,21-603,2014,9.5,5.0,5.0,4.75,5.0,4.75,4.75
7679,21-603,2015,11.0,5.0,5.0,5.0,5.0,4.75,5.0
7680,21-603,2016,10.4,3.6,3.4,4.4,4.4,4.0,4.0
7681,21-603,2017,11.0,4.33,4.0,5.0,3.33,4.67,4.67
7682,21-603,2018,15.0,5.0,4.25,5.0,5.0,5.0,5.0
7683,21-604,2010,,3.5,2.33,3.92,4.67,3.5,3.33
7684,21-604,2014,,4.5,3.5,4.5,5.0,3.5,3.5
7685,21-604,2017,7.4,4.4,4.4,4.0,5.0,4.0,4.2
7686,21-604,2019,9.88,3.75,3.75,4.13,4.88,3.38,3.38
7687,21-610,2009,,,,,,4.33,4.0
7688,21-610,2010,,2.335,2.0,2.835,4.0,2.0,2.165
7689,21-610,2011,,3.965,3.54,4.15,4.65,4.05,4.09
7690,21-610,2013,,4.8,3.8,4.8,5.0,4.6,4.8
7691,21-610,2015,10.5,4.5,4.17,4.67,5.0,4.83,4.83
7692,21-610,2016,9.5,5.0,4.0,5.0,5.0,5.0,4.5
7693,21-610,2017,7.0,5.0,3.33,5.0,4.67,5.0,5.0
7694,21-610,2018,10.0,4.5,4.17,4.67,4.83,4.5,4.67
7695,21-620,2010,,3.6,3.2,2.6,4.4,3.0,3.2
7696,21-620,2011,,4.33,4.33,4.67,5.0,4.0,4.0
7697,21-620,2012,,3.33,3.67,4.0,4.67,4.0,3.67
7698,21-620,2013,,4.86,4.86,5.0,4.86,5.0,4.86
7699,21-620,2014,7.25,3.0,2.8,3.4,4.4,3.4,3.6
7700,21-620,2015,8.75,4.4,4.4,5.0,5.0,4.8,4.6
7701,21-620,2016,9.75,5.0,5.0,5.0,5.0,4.75,5.0
7702,21-620,2017,12.75,5.0,4.75,4.75,5.0,5.0,5.0
7703,21-620,2018,7.25,4.5,4.25,4.5,4.75,4.5,4.25
7704,21-621,2010,,3.5,3.0,3.5,4.5,4.0,4.0
7705,21-621,2011,,4.43,3.57,4.29,4.57,4.14,4.0
7706,21-621,2012,,4.29,4.0,4.29,4.14,4.14,4.14
7707,21-621,2013,,5.0,5.0,5.0,5.0,5.0,5.0
7708,21-621,2014,6.5,4.6,3.8,4.4,4.8,4.0,3.8
7709,21-621,2015,10.0,4.67,4.67,4.67,4.67,4.67,4.67
7710,21-621,2016,8.0,4.67,4.33,5.0,5.0,4.67,4.67
7711,21-621,2017,10.25,5.0,4.75,4.75,5.0,4.75,4.75
7712,21-621,2018,10.25,4.5,4.0,4.5,5.0,4.0,4.0
7713,21-623,2014,,4.71,4.35,4.82,4.88,4.71,4.65
7714,21-623,2017,8.55,4.36,2.45,4.55,4.91,4.2,3.82
7715,21-623,2019,8.0,4.6,3.6,4.4,5.0,4.2,4.4
7716,21-624,2010,,4.0,4.0,4.5,4.5,4.0,4.5
7717,21-624,2013,,5.0,4.67,5.0,5.0,5.0,5.0
7718,21-624,2015,14.25,4.6,4.2,5.0,4.8,5.0,5.0
7719,21-624,2018,8.6,4.82,4.91,4.91,4.91,4.91,4.82
7720,21-630,2009,,,,,,5.0,5.0
7721,21-630,2010,,5.0,5.0,5.0,5.0,5.0,5.0
7722,21-630,2011,,4.43,4.43,4.86,4.57,4.71,4.71
7723,21-630,2012,,4.67,5.0,5.0,5.0,5.0,4.67
7724,21-630,2013,,4.6,4.8,5.0,5.0,4.6,4.6
7725,21-630,2014,,5.0,5.0,5.0,5.0,5.0,5.0
7726,21-630,2015,10.1,4.4,3.6,4.1,4.9,4.2,4.5
7727,21-630,2017,9.2,5.0,4.8,5.0,5.0,5.0,5.0
7728,21-630,2019,11.0,4.83,4.5,4.83,4.83,4.83,4.67
7729,21-632,2016,11.86,4.86,4.86,4.86,5.0,4.86,4.86
7730,21-632,2017,15.56,4.78,4.89,4.67,5.0,4.78,4.67
7731,21-632,2018,14.0,4.33,4.33,3.33,5.0,4.0,4.0
7732,21-640,2009,,,,,,5.0,4.75
7733,21-640,2010,,5.0,5.0,4.89,4.89,5.0,5.0
7734,21-640,2011,,4.0,3.75,4.0,4.75,3.88,3.88
7735,21-640,2012,,4.0,4.0,4.0,4.0,3.67,4.0
7736,21-640,2013,,4.92,4.92,4.92,4.92,4.92,4.85
7737,21-640,2014,,4.38,4.25,4.88,4.88,4.75,4.57
7738,21-640,2015,11.0,4.5,3.5,3.0,5.0,3.0,3.0
7739,21-640,2016,13.11,5.0,5.0,5.0,5.0,5.0,4.89
7740,21-640,2017,13.17,4.17,4.33,4.17,4.33,3.83,4.0
7741,21-640,2018,10.4,5.0,4.89,4.95,4.95,4.9,4.95
7742,21-640,2019,10.7,4.6,4.2,4.4,4.6,4.5,4.5
7743,21-651,2010,,3.83,3.83,3.75,4.08,3.58,3.75
7744,21-651,2011,,4.11,4.0,4.0,4.78,3.89,3.78
7745,21-651,2012,,4.8,4.8,4.6,4.4,4.4,4.4
7746,21-651,2013,,3.5,3.42,3.42,4.0,3.25,3.5
7747,21-651,2014,10.0,4.67,4.33,4.75,4.83,4.58,4.58
7748,21-651,2015,12.3,4.8,4.5,4.7,4.9,4.7,4.7
7749,21-651,2016,10.4,4.8,4.8,5.0,5.0,5.0,5.0
7750,21-651,2017,11.0,4.42,4.17,4.5,4.92,4.5,4.17
7751,21-651,2018,15.75,4.5,4.0,4.5,5.0,4.5,4.5
7752,21-660,2009,,,,,,4.33,3.67
7753,21-660,2010,,4.33,3.17,4.17,5.0,3.67,3.33
7754,21-660,2013,,4.4350000000000005,4.465,4.365,4.8,4.465,4.265000000000001
7755,21-660,2014,9.5,4.67,4.33,4.5,4.83,4.17,4.0
7756,21-660,2017,10.71,5.0,5.0,5.0,5.0,4.86,4.86
7757,21-660,2018,11.43,5.0,4.71,4.71,4.86,4.57,4.71
7758,21-660,2019,10.57,4.71,4.43,4.29,4.86,4.43,4.43
7759,21-690,2010,,4.25,4.0,4.14,4.63,3.5,3.63
7760,21-690,2011,,4.17,3.8,4.0,4.5,3.67,4.0
7761,21-690,2012,,4.13,3.63,4.38,4.75,3.75,3.75
7762,21-690,2013,,4.67,4.67,4.33,5.0,4.67,4.33
7763,21-690,2014,9.0,4.67,4.67,5.0,5.0,5.0,4.67
7764,21-690,2015,7.14,4.43,4.14,4.29,4.71,4.0,3.86
7765,21-690,2016,14.33,4.33,4.33,4.33,4.33,4.33,4.33
7766,21-690,2017,19.0,4.5,5.0,5.0,5.0,4.5,5.0
7767,21-690,2018,9.33,4.89,4.44,4.44,4.89,4.78,4.56
7768,21-700,2009,,,,,,4.67,4.67
7769,21-700,2010,,4.8,4.0,4.8,4.8,4.4,4.6
7770,21-700,2011,,4.17,4.5,4.5,4.67,4.5,4.67
7771,21-700,2012,,4.4,4.0,4.4,5.0,4.2,4.2
7772,21-700,2013,,4.0,4.33,3.67,5.0,3.33,3.67
7773,21-701,2010,,4.5,3.83,4.67,4.83,4.33,4.17
7774,21-701,2011,,4.56,4.56,4.89,4.89,4.78,4.89
7775,21-701,2012,,4.75,3.75,4.5,4.92,4.42,4.42
7776,21-701,2013,,4.91,4.55,4.73,5.0,4.73,4.82
7777,21-701,2014,12.33,4.67,4.33,4.5,4.42,4.33,4.67
7778,21-701,2015,12.33,3.33,2.33,3.67,4.67,3.0,3.67
7779,21-701,2016,11.38,4.88,4.5,4.5,5.0,4.63,4.75
7780,21-701,2017,13.5,4.5,4.36,4.5,4.43,4.43,4.64
7781,21-701,2018,16.2,4.2,4.2,4.2,4.4,4.2,4.2
7782,21-702,2009,,,,,,4.5,4.0
7783,21-702,2011,,4.67,3.33,4.67,4.67,4.67,4.67
7784,21-702,2012,,5.0,5.0,5.0,5.0,5.0,5.0
7785,21-702,2014,,4.25,3.5,4.75,4.25,4.0,4.0
7786,21-702,2015,10.0,5.0,4.0,5.0,4.67,4.67,4.33
7787,21-702,2017,11.0,5.0,4.8,4.8,4.8,5.0,4.8
7788,21-702,2019,12.5,3.75,3.75,4.5,4.0,3.75,3.75
7789,21-703,2009,,,,,,4.5,4.0
7790,21-703,2011,,4.33,3.33,5.0,5.0,4.33,4.33
7791,21-703,2012,,5.0,5.0,5.0,5.0,5.0,5.0
7792,21-703,2014,,4.2,3.6,4.0,4.4,4.0,3.8
7793,21-703,2016,12.5,5.0,4.0,5.0,5.0,5.0,5.0
7794,21-703,2018,6.5,4.5,5.0,5.0,5.0,5.0,5.0
7795,21-703,2019,10.0,5.0,5.0,5.0,5.0,5.0,5.0
7796,21-715,2013,,4.88,4.13,4.88,5.0,4.88,4.75
7797,21-720,2010,,4.83,4.67,4.67,4.83,4.75,4.75
7798,21-720,2011,,4.59,4.35,4.71,4.71,4.88,4.53
7799,21-720,2012,,4.89,4.44,4.78,4.89,4.78,4.78
7800,21-720,2013,,5.0,4.67,4.89,5.0,5.0,5.0
7801,21-720,2014,16.0,4.91,4.45,5.0,4.91,4.91,4.91
7802,21-720,2015,13.83,4.58,4.25,4.67,4.92,4.5,4.67
7803,21-720,2016,12.33,4.83,4.83,4.83,4.92,4.83,4.83
7804,21-720,2017,13.42,4.47,4.0,4.63,4.63,4.11,4.11
7805,21-720,2018,11.71,4.21,3.86,3.71,4.36,3.79,3.79
7806,21-721,2009,,,,,,4.5,4.33
7807,21-721,2010,,3.0,3.6,3.0,4.0,2.8,3.0
7808,21-721,2011,,4.0,4.13,3.88,4.5,4.0,3.88
7809,21-721,2012,,4.78,4.78,4.44,4.67,4.56,4.67
7810,21-721,2013,,4.38,4.38,4.5,4.38,4.13,4.38
7811,21-721,2014,,4.71,4.43,5.0,4.57,4.86,4.86
7812,21-721,2015,14.14,4.29,4.0,4.43,4.29,4.43,4.43
7813,21-721,2016,12.57,4.57,4.43,4.29,4.43,4.57,4.71
7814,21-721,2017,10.0,4.0,4.0,4.0,4.67,4.33,3.67
7815,21-721,2018,11.0,4.56,3.78,4.13,4.22,4.33,4.22
7816,21-721,2019,11.0,4.57,4.14,4.43,4.71,4.57,4.43
7817,21-723,2017,14.33,5.0,4.75,5.0,5.0,5.0,4.92
7818,21-723,2018,13.0,4.92,4.83,4.92,5.0,4.83,4.67
7819,21-723,2019,11.0,5.0,4.6,5.0,5.0,5.0,5.0
7820,21-724,2010,,4.63,4.88,4.88,4.88,5.0,5.0
7821,21-724,2012,,4.63,4.88,4.88,5.0,4.88,4.88
7822,21-724,2014,12.5,4.5,4.5,5.0,4.75,4.25,4.5
7823,21-732,2010,,4.2,4.0,3.9,4.1,3.8,4.0
7824,21-732,2011,,4.43,3.57,4.43,4.86,4.14,4.14
7825,21-732,2012,,4.8,4.6,4.8,5.0,4.6,4.6
7826,21-732,2013,,4.57,4.14,4.57,4.43,4.71,4.57
7827,21-732,2015,12.33,4.67,4.33,5.0,4.67,4.67,4.67
7828,21-732,2016,13.71,4.57,4.43,4.57,4.86,4.57,4.71
7829,21-732,2017,11.75,5.0,4.5,5.0,5.0,5.0,5.0
