,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
90,None,None,None,Graduate Reading & Research,5.0,Drama,"Nichols, Amy",Graduate,54-597
91,"This course provides 3 units of pass/fail credit for students participating in a drama related internship. The student must be registered for this course during the internship, in order to earn the credit. At the end of the term, the students supervisor must email the academic advisor with a brief statement describing the students activities, and an evaluation of the students performance. Students are required to submit a statement, reflecting on insights gained from the internship experience. Upon receipt of both statements, the academic advisor will assign a grade of either P or N, depending on the outcome.",None,None,Drama Practicum,3.0,Drama,"Nichols, Amy",Graduate,54-755
92,By permission of the Undergraduate Economics Program.,None,None,Internship I,,Economics,"Goldburg, Carol",Freshman,73-111
93,"The goal of this course is to reflect critically and constructively on your internship and figure out how you would like to build on your internship experiences. By permission of the Undergraduate Economics Program. Open only to declared Economics, Economics and Mathematical Sciences, and Economics and Statistics majors.",None,None,Internship III,3.0,Economics,"Goldburg, Carol",Freshman,73-113
94,This number holds a place for upper level economics elective (non study abroad) transfer credit courses so that these courses can be used in the academic audit system.,None,None,Upper Level Economics Elective Transfer Credit,,Economics,Instructor TBA,Junior,73-306
95,This number holds a place for upper level economics elective (non study abroad) transfer credit courses so that these courses can be used in the academic audit system.,None,None,Upper Level Economics Elective Transfer Credit,,Economics,"Goldburg, Carol",Junior,73-305
96,The Independent Study course in economics allows the student to pursue his or her own research interests in any of a variety of topics in economics. A typical independent study course involves a semester long project under the supervision of an appropriate faculty advisor. The nature and scope of the project are determined by the student and faculty advisor. Minimum grade standard of C applies only to economics courses.,(21-256 or 21-259 or 21-268 or 21-269) and (73-230 or 73-240),None,Independent Study in Economics,,Economics,"Gasper, John",Junior,73-395
97,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.,None,None,Study Aboard Upper Level Economics Elective,,Economics,"Goldburg, Carol",Senior,73-402
98,Economics majors with outstanding academic records and intellectual promise will be given the opportunity to undertake original research under the direction of individual faculty members.  Research topics are selected by students and approved by faculty.    Prerequisites: Senior standing in the Economics Program and permission of the Economics faculty.  Minimum grade of C required in all economics and statistics pre-requisite courses.,(21-256 or 21-259 or 21-268 or 21-269) and (73-265 or 73-274 or 36-226) and (73-230) and (73-240),None,Tepper College Honors Thesis I,,Economics,"Ales, Laurence",Graduate,73-500
99,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.,None,None,Study Abroad Upper Level Economics Elective,,Economics,"Goldburg, Carol",Senior,73-401
100,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.,None,None,Study Aboard Upper Level Economics Elective,,Economics,"Goldburg, Carol",Senior,73-403
101,This number holds a place for upper level economics elective study abroad transfer credit courses so that these courses can be used in the academic audit system.,None,None,Study Aboard Upper Level Economics Elective,,Economics,"Goldburg, Carol",Senior,73-404
102,"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation. NOTE: students must achieve a C or better in order to use this course to satisfy the pre-requisite for any subsequent Computer Science course.    Prerequisites: 15-123 (Grade of C or higher is required in the prerequisite)",15-122,None,Introduction to Computer Systems,12.0,Electrical & Computer Engineering,"Railing, Brian",Sophomore,18-213
103,"The Department of Electrical and Computer Engineering at Carnegie Mellon   considers experiential learning opportunities important educational   options for its undergraduate students.  One such option is conducting   undergraduate research with a faculty member.  Students do not need to   officially register for undergraduate research unless they want it   listed on their official transcripts.  An ECE student who is involved in   a research project and is interested in registering this undergraduate   research for course credit on the official transcript may request to be   enrolled in this course.  To do this, the student should first complete   the on-line undergraduate research form available on the ECE   undergraduate student page.  Once the form has been submitted and   approved by the faculty member the student is conducting the research   with, the ECE Undergraduate Office will add the course to the students   schedule.  Typical credit is granted as one hour of research per week is   equal to one unit of credit.",None,None,Sophomore Projects,,Electrical & Computer Engineering,"Bain, James",Sophomore,18-231
104,"The Department of Electrical and Computer Engineering at Carnegie Mellon   considers experiential learning opportunities important educational   options for its undergraduate students.  One such option is conducting   undergraduate research with a faculty member.  Students do not need to   officially register for undergraduate research unless they want it   listed on their official transcripts.  An ECE student who is involved in   a research project and is interested in registering this undergraduate   research for course credit on the official transcript may request to be   enrolled in this course.  To do this, the student should first complete   the on-line undergraduate research form available on the ECE   undergraduate student page.  Once the form has been submitted and   approved by the faculty member the student is conducting the research   with, the ECE Undergraduate Office will add the course to the students   schedule.  Typical credit is granted as one hour of research per week is   equal to one unit of credit.",None,None,Junior Projects,,Electrical & Computer Engineering,"Bain, James",Junior,18-331
105,"The Department of Electrical and Computer Engineering at Carnegie Mellon   considers experiential learning opportunities important educational   options for its undergraduate students. One such option is cooperative   education, which provides a student with an extended period of exposure   with a company.  To participate, students must complete an ECE Co-op   Approval form (located in HH 1115) and submit for approval. Students   must possess at least junior status and have an overall grade point   average of 3.0 or above. All co-ops must be approximately 8 months in   uninterrupted length. If the co-op is approved, the ECE Undergraduate   Studies Office will add the course to the students schedule. Upon   completion of the co-op experience, students must submit a 1-2 page   report of their work experience, and a 1-2 page evaluation from the   company supervisor to the ECE Undergraduate Office. International   students should also be authorized by the Office of International   Education (OIE). More information regarding CPT is available on OIEs   website.",None,None,ECE CO-OP,,Electrical & Computer Engineering,Instructor TBA,Junior,18-390
106,"The Department of Electrical and Computer Engineering at Carnegie Mellon   considers experiential learning opportunities important educational   options for its undergraduate students.  One such option is conducting   undergraduate research with a faculty member.  Students do not need to   officially register for undergraduate research unless they want it   listed on their official transcripts.  An ECE student who is involved in   a research project and is interested in registering this undergraduate   research for course credit on the official transcript may request to be   enrolled in this course.  To do this, the student should first complete   the on-line undergraduate research form available on the ECE   undergraduate student page.  Once the form has been submitted and   approved by the faculty member the student is conducting the research   with, the ECE Undergraduate Office will add the course to the students   schedule.  Typical credit is granted as one hour of research per week is   equal to one unit of credit.",None,None,Senior Projects,,Electrical & Computer Engineering,Instructor TBA,Senior,18-432
107,"The Department of Electrical and Computer Engineering at Carnegie Mellon considers experiential learning opportunities important educational options for its undergraduate students.  One such option is an internship, normally completed during the summer.  Students do not need to officially register for an internship unless they want it listed on their official transcripts.  ECE students interested in registering their internship for course credit on their transcript may request to be enrolled in this course.  The ECE Undergraduate Office will add the course to the students schedule, and the student will be assessed tuition for 3 units.  This process should be used by international students interested in Curricular Practical Training (CPT) or by any other engineering undergraduate wishing to have their internship experience reflected on their official University transcript.     International students should also be authorized by the Office of International Education (OIE). More information regarding CPT is available on OIEs website.",None,None,Internship,,Electrical & Computer Engineering,"Bain, James",Senior,18-499
108,None,None,None,Reading and Research,,Electrical & Computer Engineering,"Bain, James",Graduate,18-990
109,to be determined,None,None,ECE Graduate Teaching Internship,,Electrical & Computer Engineering,Instructor TBA,Graduate,18-993
110,No course description provided.,None,None,M.S. Graduate Project,,Electrical & Computer Engineering,"Bain, James",Graduate,18-980
111,"The Department of Electrical and Computer Engineering considers experiential learning opportunities important educational options for its graduate students. One such option is an internship, normally completed during the summer.   The ECE Graduate Office will add the course to the students schedule. This process should be used by any Electrical and Computer Engineering graduate student wishing to have their internship experience reflected on their official University transcript.  International students should also be authorized by the Office of International Education (OIE).   Completion of written assignments and requirements will determine the letter grade for the course.  Prerequisites:  Graduate standing in ECE",None,None,Internship for Electrical and Computer Engineering MS Students,3.0,Electrical & Computer Engineering,"Bain, James",Graduate,18-994
112,"Study abroad, undergraduate level.",None,None,Study Abroad,0.0,Engineering & Public Policy,"Matthews, Deanna",Freshman,19-051
113,"Students may do undergraduate research as one course for EPP technical elective credit, with an EPP faculty member, or on an approved project with a faculty member from another department. The research credits must be pre-approved by your advisor, and should result in a written product, one copy of which should be sent to EPP.",None,None,Directed Study in EPP: Undergraduate,,Engineering & Public Policy,"Matthews, Deanna",Graduate,19-500
114,"Experiential learning opportunities are important educational options for undergraduate and graduate students. One such option is an internship, or practicum. If an internship is an explicit part of an academic program or is supervised by a faculty member, this course number may be used.  Please consult the supervising faculty member concerning grading options and the appropriate number of units. NOTE: Special Permission required to register for this course",None,None,Internship Practicum,,Engineering & Public Policy,"Williams, Jimmy",Graduate,19-695
115,TBA,None,None,Internship Three Electrical and Computer Engineering PhD Students,,Electrical & Computer Engineering,"Bain, James",Graduate,18-998
116,"Students may do undergraduate research as one course for EPP technical elective credit, with an EPP faculty member, or on an approved project with a faculty member from another department. The research credits must be pre-approved by your advisor, and should result in a written product, one copy of which should be sent to EPP.",None,None,Undergraduate Research,,Engineering & Public Policy,"Matthews, Deanna",Graduate,19-550
117,Research Practicum in EPP,None,None,Research Practicum in EPP,,Engineering & Public Policy,"Matthews, H Scott",Graduate,19-770
118,"In the late 1700s moral crusaders were worried about the latest media scandal: the surge in women reading novels. As one observer complained, Women, of every age, of every condition...retain a taste for novels. I find [novels]....in the work-bag of the seamstress, in the hands of the lady who lounges on the sofa, the mistresses of nobles, the mistresses of snuff-shops, the belles who read them in town, and the chits who spell them in the country. While today we might be genuinely concerned about texting while driving, or the depression associated with high levels of facebook use, in this class we wont judge so much as we will analyze. We will look at what historical media trends have in common with, and how they are different from, the media trends of today. We will read about the print revolution, the electronic media revolution, the current digital revolution, and we will also try to peer into the future. Importantly, we will take a literary and cultural studies approach to this material. We will ask, specifically, what can the Humanities teach us about media revolutions over time? How is narrative, or story telling, central to each media revolution? We will watch movies based on some of the best Digital Dystopias, including War Games, Strange Days, The Hunger Games, and the HBO show Silicon Valley. Texts for the class will also include: Tai Pei, Digital Dead End, Orality and Literacy, and How Music Got Free.",(76-101) or (76-102) or (76-106 and 76-107) or (76-106 and 76-108) or (76-107 and 76-107),None,"Media: Past, Present, and Future",9.0,English,"Newman, Kathleen",Sophomore,76-234
119,Thesis research,None,None,Reading and Research: Thesis Research,,Engineering & Public Policy,"Matthews, H Scott",Graduate,19-798
120,None,None,None,Reading and Research: Project Research,,Engineering & Public Policy,"Matthews, H Scott",Graduate,19-797
121,None,None,None,Practicum in Electrical and Computer Engineering,,Electrical & Computer Engineering,"Bain, James",Graduate,18-995
122,"76-101 introduces first-year students to an advanced, inductive process for writing an argument from sources. Because the course is based upon empirical research about professional academic writers, students will learn expert practices for authoring their own arguments that contribute to an existing community of authors. Because reading and writing are inseparable practices for academic writing, students will read a variety of texts so that they can explore and critically evaluate a single issue from multiple perspectives and from different disciplinary genres. Students will learn methods for summarizing, synthesizing, and analyzing arguments within that issue so that they may contribute an argument of their own.  The course is also geared toward helping students understand the requirements of advanced college-level writing. Our students are typically very accomplished readers and writers, and we are eager to push their accomplishments toward greater excellence. For this purpose, students will build upon their composing knowledge by reflecting and thinking strategically as they plan, write, and revise their own texts. Ultimately, they will develop critical reading, rhetorical and linguistic practices for analyzing and producing texts within the context of an academic community.  Each section of 76-101 is structured by the same objectives and core assignments. There is a core vocabulary and set of heuristics that all sections teach. However, students may find particular issues more appealing than others-we encourage students to pursue their interests, but we also ask that students engage any 76-101 course with intellectual curiosity. Due to the limits of our schedule, we are unable to meet each students individual preferences for course topics, but we do offer a wide variety from which to choose. Section descriptions are posted at: http://www.cmu.edu/hss/english/first_year/index.html",None,None,Interpretation and Argument,9.0,English,"Vukoder, Bret",Freshman,76-101
123,tba,None,None,Internship one for Electrical and Computer Engineering PhD Students,,Electrical & Computer Engineering,"Bain, James",Graduate,18-996
124,"Writing in the Professions is a writing course specifically designed for juniors and seniors in all majors other than English. The course is appropriate for upper-level students in all CMU colleges, has no writing prerequisites, and assumes that you may not have had much college-level writing instruction past your freshman year. The basic idea of the course is to give you experience in developing the writing skills you will be expected to have as you make the transition from student to professional. The course will cover resume writing, proposal writing, writing instructions, the difference between writing for general and specific audiences, and analysis of visual aids in various texts. The course requires that students work both independently and in groups.",(76-101) or (76-102) or (76-106 and 76-107) or (76-106 and 76-108) or (76-107 and 76-108),None,Writing for the Professions,9.0,English,"Gordon, Andrew",Sophomore,76-270
125,TBA,None,None,Internship Two for Electrical and Computer Engineering PhD Students,,Electrical & Computer Engineering,"Bain, James",Graduate,18-997
126,to be determined,None,None,Professional Internship,,English,Instructor TBA,Graduate,76-705
127,No course description provided.,None,None,Graduate Reading and Research,36.0,English,Instructor TBA,Graduate,76-990
128,"An Independent Study course is a course taken with faculty supervision that goes beyond the courses offered in a particular area of interest. It should not duplicate a course offered in the regular schedule of classes. A student wishing to take an independent study needs to locate a faculty member whose research interests are close to the area of proposed study and meet with the faculty member to discuss whether it is something the faculty member is interested in doing. The department requires that the student and instructor submit a written contract (available in the English Department) detailing the expectations (description of course of study, readings, how often the student/faculty member will meet) and requirements for the completed independent study project (number  length of papers) and a time-line for completion of the work. You should think of this as developing the equivalent of a detailed course syllabus/schedule, and typically involves development of a bibliography of readings.",None,None,Independent Study in Literary and Cultural Studies,,English,Instructor TBA,Junior,76-370
129,"This course is designed to help you explore possible writing-related careers as you gain workplace experience and earn academic credit. Youll work on- or off-campus as an entry-level professional writer for 8-10 hours per week in a field of interest to you (public relations, journalism, advertising, magazine writing, non-profit, healthcare, etc.). You are responsible for finding an internship. Most of your class time for the course will be completed at your internship site - a minimum of 120 hours (8-10 per week) over the semester for 9 units of credit. As the academic component of the course, youll keep a reflective journal and meet periodically with the internship coordinator to discuss your internship and related professional issues. You must register for the course before the add/drop deadline of the semester in which you want to do your internship. Before you can register, you must contact the internship instructor listed above to express your interest in the course and to be cleared for registration. Credit for the internship course cannot be retroactively awarded for past internships.",None,None,Internship,,English,"Werner, Necia",Junior,76-301
130,"During a semester, some international ETC students have the opportunity to do some part-time professional work and need work authorization in order to make this possible. This course provides students with the educational experience of working in a professional environment with interdisciplinary teams, working under faculty supervision.  ETC Practicum Training provides an educational structure for students to have a part-time professional work experience. Students will have a faculty advisor. The faculty advisor will talk with the student and their supervisor twice during the semester (around midterm and the end of the semester) to evaluate and grade the students performance on the project.",None,None,ETC Practicum Training,3.0,Entertainment Technology Pittsburgh,"davidson, drew",Graduate,53-998
131,"For ETC students   Independent study is available for students who are in good academic standing. Independent study allows the student, with the support of a faculty advisor, to develop a self-generated project or body of work outside the classroom or project course setting. In order to register for an independent study, the student must first propose their idea to a faculty member (who does not have to be from our department) who agrees to oversee the project, and then fill out the appropriate paperwork available from the Director of Student Services.     For non-ETC students   The Entertainment Technology Center offers independent study opportunities to non-ETC students on a very limited basis. Registering for the independent study allows students, in essence, to work be a part of ETC project course in which ETC students are in small, interdisciplinary teams, creating artifacts under direct faculty supervision. The number of projects per semester will vary. The primary objective of the courses is to provide a hands-on working experience with teammates who are from different backgrounds and disciplines. Other objectives are to experience project management, and have the possibility of working with an external client (some projects have external collaborators). The requirements for a project are that: the team contain students from both technology and non-technology backgrounds, the team must prototype and produce a tangible artifact (not a paper), and the work must be supervised by a faculty member approved by the ETC for this project.  Registration to the course requires a completed independent study work outline.  See the ETC Director of Student Services for the form.",None,None,Entertainment Technology Center Independent Study,,Entertainment Technology Pittsburgh,Instructor TBA,Graduate,53-689
132,"*The online summer version of 94-802 is structured as a more technical offering for the MSIT student as compared to the in person version taught in Fall/Spring. For this reason, students in the School of Public Policy  must meet the pre-requisite of a B or better earned in 90-728.*  A geographic information system (GIS) provides storage, retrieval, and visualization of geographically referenced data as well as design and analysis of geospatial information. GIS provides unique analytical tools to investigate spatial relationships, patterns, and processes of cultural, biological, demographic, economic, social, environmental, health, criminal, and other phenomena. This course uses a unique approach for teaching GIS. It imbeds learning how to use GIS software in the context of carrying out projects for visualizing and analyzing spatial data. Each week includes online lectures, readings, and other materials to learn concepts associated with each topic. Weekly tutorials use Esris ArcGIS Pro and Platform technologies to analyze data or solve a problem. Students learn to create online Story Maps to convey their maps and associated information to the public and decision makers. By the end of the course, students will identify the relevant spatial characteristics of diverse application areas enabling professionals to integrate spatial thinking and GIS analysis into their careers and will gain a significant advantage in the information technology field.",91-802 or 90-728,None,Geographic Information Systems,12.0,Heinz College Wide Courses,"Kurland, Kristen",Graduate,94-802
133,Course description available on Heinz College website.,None,None,Internship,0.0,Heinz College Wide Courses,"Delfine, Ron",Graduate,94-900
134,"This is a survey art history course focusing on historically significant forms of art and architecture in Western Civilization from the Renaissance to the 21st century. The course fosters a holistic understanding of the history of art from a global perspective through investigation of diverse artistic traditions of cultures. Students will critically analyze works of art within diverse historical and cultural contexts, such as politics, religion, patronage, gender, and ethnicity. They will learn about the purpose and function of art and major forms of artistic expression, including architecture, sculpture, painting and other media from across a variety of cultures. Exploration of human achievements in art will help to develop students ability to clearly articulate in verbal and written forms relation to cultural history.",None,None,European Art History: From Renaissance to the Present,9.0,History,"Kats, Naum",Sophomore,79-274
135,"Cultural anthropologists make the strange familiar and the familiar strange, attempting to understand the internal logic of cultures which might, at first glance, seem bizarre to us, while at the same time probing those aspects of our own society which might appear equally bizarre to outsiders. In doing so, anthropology makes us more aware of our own culturally-ingrained assumptions, while broadening our understanding of the possibilities and alternatives in human experience. This course will use ethnographic writings (descriptive accounts of particular cultures), as well as ethnographic films, to investigate the ways in which diverse societies structure family life, resolve conflict, construct gender relations, organize subsistence, etc. We will assess the advantages and pitfalls of comparing cross-cultural data, analyze the workings of power within and between societies, and consider the politics of cultural representations. We will also discuss the anthropologists relationship to the people s/he studies, and the responsibilities inherent in that relationship. Throughout the course, students will learn the importance of an historical perspective on culture, looking at how and why societies change, and considering how we, as anthropologists, should assess these changes.",None,None,Introduction to Anthropology,9.0,History,"Alfonso-Wells, Shawn",Sophomore,79-201
136,"This is an introductory survey of American history from colonial times to the present. The course focuses on cultural history instead of the more traditional emphasis on presidents, wars, and memorizing facts or timelines. The major theme of the course is the changing meaning of freedom over three centuries. Required readings include several short books, historical documents, and a study of the concept of freedom. There is no textbook; background facts and events are covered in lectures to provide students with context needed to think about and understand Americas cultural history. Assignments include exams and essays.",None,None,Development of American Culture,9.0,History,"Hauser, Mark",Sophomore,79-240
137,"This course offers a comprehensive retrospective of the First World War (1914-1918), focusing primarily on the American experience. The course will cover the military, political, social, and business history of the war.  Guiding questions will be: Why did the US enter the war? How did the country adjust its economic output to rapidly field an Army of nearly five million? How did the war impact the countrys immigrant and African-American communities? What role did women play in the war effort? What was the wars legacy on American culture and politics? Students will read approximately five secondary sources over the course of the semester, and engage with primary sources including songs and records, soldiers and welfare workers letters and diaries, and government and welfare organizations documents.  Students will complete three 7-8 page essays and a longer 10 page final essay.",None,None,World War I: The Twentieth Century's First Catastrophe,9.0,History,"Hauser, Mark",Sophomore,79-268
138,"This course provides Global Studies majors with a chance to explore global connections in Pittsburgh. Majors, working in close consultation with the Global Studies director and advisor, will arrange an internship with a non-governmental organization (usually in Pittsburgh) whose mission has a global reach. This could include an organization that supports projects in other countries, works with immigrants in the Pittsburgh area, or participates in international policy making/governance. We strongly encourage students to seek out opportunities that require use of a second language. Students will be required to maintain a weekly journal; write a short critical reflection on how the internship connects to academic work; and share their experience with other Global Studies majors. Global Studies advisor and director will assist students with matching their interests to local organizations and identifying an on-site supervisor available to collaborate in the ongoing and final evaluation of the students work. Prerequisite: Students must be Global Studies majors and obtain permission for the proposed internship from the Global Studies advisor.",None,None,Global Studies Internship,,History,Instructor TBA,Graduate,79-506
139,None,None,None,Reading and Research,36.0,History,Instructor TBA,Graduate,79-896
140,Missing Course Description - please contact the teaching department.,None,None,History Dissertation,,History,Instructor TBA,Graduate,79-893
141,An Independent Study is meant for students with a special interest in an area not covered by a formal history course.  Readings and other work are negotiated between the student and an individual faculty member.,None,None,Independent Study,,History,Instructor TBA,Senior,79-491
142,This course is for INI bicoastal students who are fulfilling a semester of residency as part of degree requirements.  Residency is defined as being physically present on the SV campus and physically attending class(es) for one full semesters (16-month students; Fall 2) or for two full semesters (20-month students; Fall 2  Spring 2).  Courses taken remotely will not fulfill the residency requirement.,None,None,Silicon Valley Residency,0.0,Information Networking Institute,Instructor TBA,Graduate,14-699
143,This course is for INI students who are working on research for their masters thesis or graduate project.  A student must receive special permission to register for this course.  Please contact the INI Enrollment Services Office for more info at ini-enrollment@andrew.cmu.edu.,None,None,INI Project/Thesis Research,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-700
144,"This course is for INI students who are defending and submitting an academic research-based masters thesis.  Enrollment requires special permission,therefore, the INI Enrollment Services Office will enroll those who should be.",None,None,Information Networking Thesis,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-707
145,"This course is for INI students in the Kobe MSIT-IS program. Students will be registered for the course when they are ready to defend their project.  Enrollment requires special permission, therefore, the INI Academic Affairs Office will register those who should be.",None,None,INI Project-Japan,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-709
146,"This course introduces a variety of cyber security topics from a management, policy, and technology framework. Topics covered include; security of user-web interaction; safeguarding the Internet of Things; cyber-warfare; securing virtual, cloud, and mobile environments; and legal and ethical issues of security and privacy.",None,None,Introduction to Information Security,9.0,Information Systems:Sch of IS & Mgt,"Trzeciak, Randy",Graduate,95-565
147,"This course is for INI students who are defending their development-based project and submitting a technical report.  Enrollment requires special permission, therefore, the INI Enrollment Services Office will register those who should be.",None,None,Information Networking Project,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-706
148,"If there is a special topic that interests a student and is relevant to their degree program, the student may negotiate an Independent Study mentored by a Carnegie Mellon faculty member.  Through an Independent Study, students can either focus on learning a topic area that is not otherwise available at Carnegie Mellon, or they can assist the faculty advisor and relevant partners in exploring research and/or development opportunities in new areas.  The student must provide compelling justification as to (1) why an Independent Study on this topic or project is relevant to their degree program and should be allowed, (2) why the chosen faculty member is an appropriate Independent Study advisor, and (3) the learning objectives and expected deliverables of the Independent Study.  Specific proposal requirements and processes are detailed in the INI Student Handbook.  This course is open to INI students only, and special permission is required to enroll.  Eligible students should contact the INI Academic Affairs Office regarding Independent Study proposal submission.",None,None,INI Independent Study,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-708
149,"This course is for INI students who are pursuing an internship.    Special permission is required to be enrolled in this course, therefore, eligible students should contact the INI Enrollment Services Office.",None,None,Internship,,Information Networking Institute,"Tsamitis, Dena",Graduate,14-797
150,"Databases systems are central to most organizations information systems strategies. At any organizational level, users can expect to have frequent contact with database systems. Therefore, skill in using such systems - understanding their capabilities and limitations, knowing how to access data directly or through technical specialists, knowing how to effectively use the information such systems can provide, and skills in designing new systems and related applications  is a distinct advantage and necessity today. The Relational Database Management System (RDBMS) is one type of database systems that is most often used these days, and is the primary focus of this course. Further, to provide students with opportunity to apply the knowledge they learn from the lectures, various homework assignments, SQL assignments, and a database implementation project will be given.",None,None,Database Management,12.0,Information Systems:Sch of IS & Mgt,"Szczypula, Janusz",Graduate,95-703
151,"The purpose of this course is to provide an understanding of the key technical, managerial and policy issues in the effective development and use of telecommunication solutions by organizations. Discussion of technology and technology trends will be set in the context of applications. Topics covered will include basic concepts of telecommunication technology (data and voice), Internet and intranet technologies, issues related to the operational and strategic use of the technology, economics and policy aspects of telecommunication, and the changing structure of the telecommunications industry. A number of case studies will be included in the curriculum providing students the opportunity to apply the concepts to real world situations.",None,None,Telecommunications Management,12.0,Information Systems:Sch of IS & Mgt,"Yucel, Sakir",Graduate,95-705
152,,None,None,Object Oriented Programming in JAVA,12.0,Information Systems:Sch of IS & Mgt,"Barrett, Martin",Graduate,95-712
153,"The growth of the Internet continues to have a tremendous influence on business. It has not only given rise to new organizational forms (e.g., virtual organizations) and markets which feature electronic transactions models in new categories of goods and services (e.g., order placement and fulfillment for digital products on information networks) but has had profound implications for business and technology strategy of the firms, consumer behavior (use of social media) and the role of the government in the society.",95-705,None,E-Business Technology and Management,12.0,Information Systems:Sch of IS & Mgt,"Esmailzadeh, Riaz",Graduate,95-730
154,"This course is intended to give students an introduction to a variety of information and cyber security topics. As a survey course, it will cover foundational technical concepts as well as managerial and policy topics. Coverage includes foundations of information security; introductory cryptography; program, data, and operating system security; security of user-web interaction; safeguarding the Internet of Things; cyberwarfare; securing virtual, cloud, and mobile environments; network concepts and network security; incident management and IT auditing processes; security risk management; legal and ethical issues of security and privacy. Students are exposed to common sources of vulnerability information and how to incorporate this information into information security management processes. The purpose of the course lectures, assignments, readings, and examinations are to ensure students have sufficient technical awareness and managerial competence that will enable them to pursue advanced study in information security policy and management. There is no prerequisite for this course, however successful students will have fundamental knowledge of information and computer systems, and a general awareness of security issues in these systems.",None,None,Introduction to Information Security Management,12.0,Information Systems:Sch of IS & Mgt,"Trzeciak, Randy",Graduate,95-752
155,,None,None,Network Situational Awareness,6.0,Information Systems:Sch of IS & Mgt,"O'Meara, Kyle",Graduate,95-855
156,,95-717 and 95-718,None,Internship,,Information Systems:Sch of IS & Mgt,"Beggs, Sean",Graduate,95-900
157,"This course will introduce students to professional penetration testing by teaching offensive tactics along with the appropriate methodologies and responsibilities it takes to ethically attack systems. The majority of time will be spent in hands-on labs performing reconnaissance, discovering vulnerabilities, developing exploits, and carefully penetrating targets.",None,None,Ethical Penetration Testing,9.0,Information Systems:Sch of IS & Mgt,"Forbes, Justin",Graduate,95-569
158,"Data plays a fundamental part in the functioning of the modern world. As custodians of this data, databases affect almost every aspect of our lives: education, employment, entertainment, tax, medical, commercial, to name a few. In the broader picture of information security, database security is a critical facet.  In this course, we will study tools and techniques to address  two intertwined questions (i) how to use a database system and (ii) how to secure a database system.  Course themes will be sampled from: integrity rules, query formulation, data modeling, table design, authorization and access controls, views, backup and recovery, and encryption.",None,None,Data Management and Security,9.0,Information Systems:Sch of IS & Mgt,"Sooriamurthi, Raja",Graduate,95-568
159,,None,None,Information Systems Project,,Information Systems:Sch of IS & Mgt,"Chen, George",Graduate,95-720
160,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-904
161,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-901
162,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-903
163,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-905
164,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,"Padman, Rema",Graduate,95-907
165,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-902
166,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,"Li, Beibei",Graduate,95-908
167,None,None,None,Independent Study,6.0,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-906
168,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-915
169,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-914
170,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-909
171,None,None,None,Independent Study,,Information Systems:Sch of IS & Mgt,Instructor TBA,Graduate,95-911
172,"Students conduct research under the supervision of an Institute for Politics and Strategy faculty member. Students who wish to engage in research should seek out a faculty member whose interests are appropriate to the research. Prerequisite: Students must also complete an Independent Study/Research for Credit form, available from the Associate Director of Academic Affairs. Permission of a faculty sponsor.",None,None,Undergraduate Research,,Institute for Politics and Strategy,Instructor TBA,Senior,84-498
173,"An internship is an approved and monitored work experience than can be related to an academic field of study through active reflection and specific learning goals. Students will be in regular contact with a faculty member in the Institute for Politics and Strategy, who will assign and evaluate academic work. Internships are available for 3, 6, or 9 units, depending on the type and amount of academic work produced. Students are responsible for finding their own internships and faculty sponsors, although assistance is available through the Associate Director of Academic Affairs",None,None,Undergraduate Internship,,Institute for Politics and Strategy,"Arana, Ignacio",Graduate,84-505
