,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
566,"This course is for students considering how their work can contribute to a positive societal shift. Through a mix of lecture, readings, classroom activities and short field assignments, the course covers models of change, and methods, approaches, and skills that support the emergence of new social patterns. Such work necessarily involves diverse stakeholders, the complexity of human relationships and beliefs, and the challenges of power, conflict, exclusion and inequity. For that reason, this course helps students make first steps in preparing to facilitate creative change among diverse stakeholdersattending to the conditions for generative dialogue, listening to all voices, and hosting the long process of co-creation.",None,None,Design Center: Co-Designing for Social Innovation,4.5,Design,"Rettig, Marc",Junior,51-384
567,Guidelines for independent study in the Design office.  Proposals must be approved by faculty before registration.,None,None,Junior Independent Study,,Design,"Vitone, Dylan",Junior,51-399
568,"Beginning Book Arts Lab Class.  6units.  (This class is a prerequisite for the  Advanced Book Arts Workshop Lab Class).    This is a class of basic issues regarding hand bookbinding  and letterpress printing. Its purpose is to develop a basic  structural sense of book forms, of flat format work and of three  dimensional forms. Learning hand craft techniques, developing  hand skills and the sensitivity to materials are also a goal.  Binding projects assigned will target the unique nature of  papers, fabrics and archival card-boards. Structural procedures  and techniques will be identified with each assigned binding project.  The binding projects will be:  A hardcover for a paper back book,  a single signature book, a multi-signature book with flat spine,  and a box construction. The box project is designed and crafted  to contain a small letterpress printed class edition, either in book  form, or as a set of un-bound pages.  The letterpress component teaches the standard issues, unique  to the relief process, in press work, handset procedure of cast  metal type, page form spacing, lock-up of pages in press,  proofing, and production printing. Each semester a small class  edition project of text content and image, in two-color  registration, is designed, hand set and printed.  Image generation can be by hand cut block, assembled  type-high forms, or digital process to polymer plate.    This class is not to be repeated.",None,None,Beginning Book Arts Lab,6.0,Design,"Dicey, Joseph",Senior,51-426
569,"Students will be required to plan and design projects that relate to binding, or digital printing, or letterpress printing, or hand-setting of cast metal type. Projects utilizing a combination of all processes can be planned as well. Experimental work, or Artists Books are also encouraged. In this class structure students will be able to plan and design projects that are complete books, with printed content, or with out content. Other flat structures, and three dimensional containers are examples of general forms that will be categorized as binding work. Students who wish to enroll in this course must have already taken Beginning Book Arts, and must also speak to the instructor directly about project ideas.  Emphasis for binding is working independently with a greater level of hand craft and a sensitivity to materials.  Emphasis for letterpress printing is to learn in depth, and master, the general mechanical process for doing press work.  Emphasis for hand typesetting is on gaining an understanding of the system of cast metal type, and to develop a sensitivity to typographic principles.  Instruction will be given on an individual basis through consultation at strategic times throughout the semester. Project evaluation will be based on the success of the project work compared to each students written project proposal at the start of the semester.  The Advanced Workshop in Book Arts can be repeated. For more complex project work this class can be continued for the following semester.",51-425 or 51-426,None,Advanced Book Arts Workshop,9.0,Design,"Dicey, Joseph",Senior,51-427
570,"The course will explore the principles of visual composition, proportioning systems and the rules of order as it relates to art, architecture and design.  The class will involve extensive reading and discussion of these topics in class.  Some project work will  also be required but minimal to the reading.  A reading list will be provided. Instructor permission required for non-Design majors.",None,None,Semantics & Aesthetics,4.5,Design,"Zywica, Matthew",Junior,51-376
571,"This course is the second in sequence of prototyping and testing a proposed medical device product.  The course consists of modules for the development of a project plan, background research, hazard analysis, setting product specifications based on user requirements, detailed design and analysis, prototype development and final documentation and presentation.  All products developed will respond to the needs of appropriate market segments; resulting products will be deemed safe, effective, useful, usable and desirable by those segments. Students will produce a form model, functional prototype, marketing plan, and manufacturing plan of their product.  Prerequisite: 51-441 (3 units, Fall) Foundations of Biomedical Engineering Design (or permission of the instructor). Junior level design or higher with studio training.  Solid modeling or surface modeling recommended.",None,None,BME Design Project,9.0,Design,"Zapanta, Conrad",Senior,51-442
572,"The Experimental Form Studio looks broadly at the discipline of industrial design with an emphasis on creating new paradigms for interactive objects. This course encourages an exploratory study of physical objects and artifacts and provides a creative and intellectual forum to re-imagine our relationship with objects. Each independently-themed project presents opportunities to consider embedded mechanics  technology, objects as interactive media, and experience-driven design.   Experimental Form, at its most basic, is a process that blends play and inquiry in an open-ended way finding the unexpected through tinkering and trying something you dont quite know how to do, guided by imagination and curiosity.  In this sense, Experimental Form complements the core ID Studio sequence by providing a playground for intellectual discourse, experimental trial and error, and refining individual processes for designing. This is your sandbox. Prerequisites: Junior standing in industrial design.  Junior level communication design with instructor permission.",51-311 or 51-343 or 51-248,None,Experimental Form,9.0,Design,"Baskinger, Mark",Senior,51-434
573,"A continuation of 51-451, this course explores a much broader range of issues related to furniture design. Students will identify and define in a proposal the area of furniture design they intend to investigate and then produce one or more furniture pieces developed from their findings. Materials and processes applied to the project are limited only by the resources the student can bring to bear. Assigned readings and a series of in-class discussions will focus on the influence of workmanship in design, and on how the behavior of the user is influenced by the form or esthetic language of the artifact. Lab fee  material purchases required.",51-451,None,Furniture Design II,9.0,Design,"Merriman, Thomas",Senior,51-452
574,"Learn how to work independently, applying skills/knowledge in Products, Communications, Environments to the research/definition/development/testing of a project that focuses on the design of a service or social innovation that warrants investigation; deepen understanding of service  social innovation design principles and how they are put into practice.",None,None,Design Capstone Project: Service Design & Social Innovation,12.0,Design,"Firos, Daphne",Senior,51-480
575,"This course focuses on designing experiences that engage people in educational activities that enhance their learning through meaningful, memorable, and enjoyable interactions with information. Throughout the course, students investigate the intersection of design thinking, UI/UX design, cognitive studies, social sciences, instructional design, and educational pedagogy as a way of developing knowledge and skills in designing experiences for learners. Students study topics that are often difficult to grasp and collaboratively build a taxonomy of content types based on common and differentiating characteristics to identify design opportunities. Through readings, projects, and class exercises, students explore how people perceive and process information, what motivates them to learn, and what constitutes an experience. The course introduces students to traditional and emergent learning tools and methods as a means of defining affordances and limitations of various learning approaches and mediums. It also provides students the opportunity to apply what they learn through the design, testing, and assessment of learning experiences that they create.",None,None,Learner Experience Design,9.0,Design,"Rohrbach, Stacie",Senior,51-486
576,"Series of lab exercises targeting basic skill building in rudimentary desktop modeling and other forms of three-dimensional making, hacking, basic mechanics and electronics, programming/coding, and prototyping, intended for parallel applications in Studio II in consultation with Studio II instructor.",None,None,Prototyping for Interaction Design,12.0,Design,"Twigg, Andrew",Graduate,51-626
577,"In this project-based studio course, you will establish the foundational skills, perspectives, and working vocabulary of an interaction designer. Lectures and readings introduce the history of the field, along with its most influential ideas, literature, and practitioners. Exercises, projects, and critiques allow you to apply what you learn. Youll learn to think and see the world like an interaction designer, communicate your ideas effectively, and develop skills associated with interaction design methods and and processes.",None,None,MA Studio II: Intro Interaction Design,12.0,Design,"O'Leary, Raelynn",Graduate,51-612
578,"Transition Design: Designing for Systems-Level Change. This course will provide an overview of the emerging field of Transition Design, which proposes societal transitions toward more sustainable futures. The idea of intentional (designed) societal transitions has become a global meme and involves an understanding of the complex dynamics of whole systems which form the context for many of todays wicked problems (climate change, loss of biodiversity, pollution, growing gap between rich/poor, etc.).Through a mix of lecture, readings, classroom activities and projects, students will be introduced to the emerging Transition Design process which focuses on framing problems in large, spatio-temporal contexts, resolving conflict among stakeholder groups and facilitating the co-creation of desirable, long-term futures. This course will prepare students for work in transdisciplinary teams to address large, societal problems that require a deep understanding of the anatomy and dynamics of complex systems.",None,None,Transition Design,9.0,Design,"Irwin, Terry",Senior,51-400
579,Guidelines for independent study are on the Design Intranet.  Proposals must be approved by faculty before pre-registration.,None,None,Senior Independent Study,,Design,"Zywica, Matthew",Senior,51-499
580,"Short series of activity-based workshops focused on how to formulate and iterate upon good research questions, scoping an appropriate level of detail for a one-year thesis project in design. Building upon the 51-705 prerequisite in fall, students meet with thesis advisors to craft final proposals in preparation for the Thesis Project required of all second year Master of Design students.",None,None,Thesis Preparation II,3.0,Design,"Steenson, Molly",Graduate,51-706
581,"Transition Design: Designing for Systems-Level Change. This course will provide an overview of the emerging field of Transition Design, which proposes societal transitions toward more sustainable futures. The idea of intentional (designed) societal transitions has become a global meme and involves an understanding of the complex dynamics of whole systems which form the context for many of todays wicked problems (climate change, loss of biodiversity, pollution, growing gap between rich/poor, etc.).Through a mix of lecture, readings, classroom activities and projects, students will be introduced to the emerging Transition Design process which focuses on framing problems in large, spatio-temporal contexts, resolving conflict among stakeholder groups and facilitating the co-creation of desirable, long-term futures. This course will prepare students for work in transdisciplinary teams to address large, societal problems that require a deep understanding of the anatomy and dynamics of complex systems.",None,None,Transition Design,12.0,Design,"Irwin, Terry",Graduate,51-702
582,"While the history of AI research is as old as computing, there is little history of successful AI products entering society through entrepreneurship.   The social experience of AI is typically the byproduct of large research investments while new startups struggle to compete with limited budgets or consumer insight.  This is in part because AI companies have consistently focused on the technology  the nature of AI as a product, or the integration of that product into society. Yet as a user centered design to AI is also insufficient, given the complexity of AI technologies in future economies, communities, and the work place. To develop new and viable AI technologies that enter society through entrepreneurship, are new business models and design methods needed? How can designers shape organizations, products, and markets through new combinations of AI?   To explore these questions, this course explores the history and future of AI through the lens of design and entrepreneurship.  In-class projects and assignments will provide the opportunity for students to pioneer new conceptions of AI.   Students will additionally gain direct exposure to advanced technology startups though guest lectures and joint ventures.",None,None,Design Center: Product Service Ecologies for Artificial Intelligence,12.0,Design,"Sutika Sipus, Mitchell",Graduate,51-678
583,"This course is an extension of Graduate Design Studio I, with an emphasis on applying the principles of Studio I, Seminar I, and Research Methods to a semester-long team project. The focus is on research, strategic thinking, and design process, which lead to planning and development of interactive systems or services. This is an externally sponsored project that involves teamwork, collaboration, and client interaction-critical skills for any designer. This course is a design masters level course. Students are expected to demonstrate mastery in the integration of design process, design research, and client presentations. Past clients have included Motorola, Microsoft, and the Carnegie Museum of Art. Prerequisite: concurrent registration in Graduate Design Seminar II or approval of instructor.",51-711,None,Graduate Design Studio II,15.0,Design,"Scupelli, Peter",Graduate,51-712
584,"This course provides 3 units of pass/fail credit for students participating in a design internship.  The student must be registered for this course during the internship, in order to earn the credit.  At the end of the term, the students supervisor must email the course coordinator with a brief statement describing the students activities, and an evaluation of the students performance.  Students are required to submit a statement, reflecting on insights gained from the internship experience. Upon receipt of both statements, the course coordinator will assign a grade of either P or N, depending on the outcome.",None,None,Design Practicum,3.0,Design,"Cicozi, Melissa",Graduate,51-718
585,"This course will both explore how and where to integrate innovative solutions within the Postal Service network through human centered design and place making. By crafting a series of scenarios and playbooks, targeting a subset of postal real-estate that is near closure, students will develop an approach to adaptive reuse and community engagement to save the post office. Incorporating solutions that address energy usage; access to healthy food; leverage smart technologies; students will work in interdisciplinary teams to envision concepts for building community resilience. For part of this course we will be working alongside community members from Homewood, PA. in their former postal facility.",None,None,Design Center: From Postal Networks to Community Places,9.0,Design,"Hughes, Kristin",Senior,51-460
586,"An examination of research methods currently employed by the design professions, with an emphasis on user field research methods and creative toolkits for participatory design. Students gain experience in method application through a parallel studio project phased through exploratory, generative, and evaluative research. Required of all first year Master of Design and Master of Professional Studies students in Design, and linked to the Studio II project in Design 51-712. Others may be admitted by permission of the instructor, with preference given to those concurrently taking Design 51-712.",None,51-712,Research Methods for Design,9.0,Design,"Hanington, Bruce",Graduate,51-744
587,"Design for social innovation is a seminar that traces the history and application of design methods to solving social problems. The course will weaver together themes from readings in design, business, public policy, technology, social service, international relations and current events. The course will review examples of successful and failed social innovations from local, regional, national and international contexts. Students will learn the role of governments, technology, funding, infrastructure, mindset, emotion, and cultural factors in addressing problems in the social sector. The course will include a real-world problem-solving component where students (in teams or individually) will write a paper, design an artifact or intervention, propose a project or conduct a short design research study that addresses a real-world problem that impacts a local community.",None,None,Design for Social Innovation,12.0,Design,"Krishnaswami, Lakshmi",Graduate,51-782
588,"The objective of this course is to provide students with a practical, technical and theoretical foundation in video work. Students leaving this class will have gained knowledge of developing a moving picture from start to finish. Students will learn how to storyboard/scamp, plan/scout, produce, and post-produce. Equally importantly students will develop their own visual esthetics through the creation of 4 short videos.",None,None,Moving Pictures,12.0,Design,"Vitone, Dylan",Graduate,51-768
589,"This course provides 3 units of pass/fail credit for students participating in a design internship.  The student must be registered for this course during the internship, in order to earn the credit.  In the summer semester, the course must be paid for as an additional course, as summer courses are not part of the normal fall/spring academic year.    At the end of the term, the students supervisor must email the course coordinator with a brief statement describing the students activities, and an evaluation of the students performance.  Students are required to submit a statement, reflecting on insights gained from the internship experience. Upon receipt of both statements, the course coordinator will assign a grade of either P or N, depending on the outcome.",None,None,Design Practicum,3.0,Design,"Cicozi, Melissa",Senior,51-470
590,This course is for faculty-approved research in the Design Masters and Doctoral programs.,None,None,Design Research,,Design,"Chapman, Jonathan",Graduate,51-720
591,"In this one-semester studio-like course non-majors are introduced to product design from the product designers point of view. Through studio projects, lectures, and discussions, students will learn approaches to defining and visualizing product concepts for mass production. Case histories and the analysis of existing products will supplement hands-on experience in developing product concepts.",None,None,Design Center: Product Design Fundamentals: Design for Interactions for Products,12.0,Design,"Frier, Ethan",Graduate,51-764
592,"Increasingly, designers have the potential to operate as agents of change in a broad range of areas including corporate, government, non-profit, social innovation start-ups, and sustainability projects. With so much choice on the horizon, some designers may wonder, What value do I bring to the world through design? Values often are implicit and may vary across contexts (e.g., profit, efficiency, effectiveness, fairness, social impact, environmental impact). This course focuses on exploring and identifying the potential for positive and negative impact that design can have in the world around us. For example, how might a designer embed values related to sustainability, gender equality, or race relations into his or her design projects and design practice?",None,None,Design Center: Design Ethos & Action,12.0,Design,"Scupelli, Peter",Graduate,51-796
593,"Advanced Web Design builds off of the fundamentals of Introduction to Web Design to make students more sophisticated web designers. Focusing on furthering skills beyond basic HTML5 and CSS3 and responsive design approaches, this course will also delve more deeply into web research and strategy; content development; hierarchy; design thinking; search engine optimization; and introduce students to the basics of PHP and javascript. Students will also gain a basic understanding of databases, work with content management systems, and design and develop for divergent platforms such as phones, tablets, and desktop computers. With an interdisciplinary, team-based approach, students will develop advanced websites while mastering HTML5 and CSS3, looking at what is viable for implementation today as well as looking forward at what technology is reasonable in the near future of web design. Your own laptop is required, with the following software installed: Adobe CS6 or later, as well as other open-sourced software. Students are required to be competent with building responsive web pages to take this course.",None,None,Advanced Web Design,12.0,Design,"Twigg, Andrew",Graduate,51-828
594,"The Experimental Form Studio looks broadly at the discipline of industrial design with an emphasis on creating new paradigms for interactive objects. This course encourages an exploratory study of physical objects and artifacts and provides a creative and intellectual forum to re-imagine our relationship with objects. Each independently themed project presents opportunities to consider embedded mechanics  technology, objects as interactive media, and experience-driven design. Experimental Form, at its most basic, is a process that blends play and inquiry in an open-ended way finding the unexpected through tinkering and trying something you dont quite know how to do, guided by imagination and curiosity.  In this sense, Experimental Form complements the core ID Studio sequence by providing a playground for intellectual discourse, experimental trial and error, and refining individual processes for designing. This is your sandbox. Open to MII-PS, MTID, MDes with instructor permission.",None,None,Experimental Form,12.0,Design,"Baskinger, Mark",Graduate,51-834
595,"This course emphasizes drawing exploration through methods of sketching, notation, and rapid visualization in context.  Students will progress through a sequence of projects and exercises that apply healthy drawing practices of interpretation, expression and effect, perspective drawing, form development, and narrative.  Throughout the semester, a variety of drawing and rendering techniques will be introduced to study and communicate subject matter.  The drawing output within a project combines personal sketchbook studies with display pieces to share for critique.  This course is intended for Masters students in HCII in the fall,and Masters students in Design in the spring; all other students by permission of the instructor.",None,None,Design Center: Methodology of Visualization,12.0,Design,"Zywica, Matthew",Graduate,51-831
596,Students must submit a proposal to their selected faculty advisor. Proposal forms can be found on the Design Intranet.,None,None,Graduate Independent  Study,,Design,"Chung, Wayne",Graduate,51-799
597,"This course will both explore how and where to integrate innovative solutions within the Postal Service network through human centered design and place making. By crafting a series of scenarios and playbooks, targeting a subset of postal real-estate that is near closure, students will develop an approach to adaptive reuse and community engagement to save the post office. Incorporating solutions that address energy usage; access to healthy food; leverage smart technologies; students will work in interdisciplinary teams to envision concepts for building community resilience. For part of this course we will be working alongside community members from Homewood, PA. in their former postal facility.",None,None,Design Center: From Postal Networks to Community Places,12.0,Design,"Hughes, Kristin",Graduate,51-860
598,"We all have an idea of what a good service is -- when everything clicks into place, when you feel a little surprised and delighted because of the thoughtfulness and smoothness. And we know what its like when a service goes wrong -- missed flight connections leading to sleeping on an airport floor, sitting for too long in a doctors waiting room, a website or app acting tone deaf in a sensitive situation. So what does it take to get a service right? And how can our services best communicate and reflect their interactions with us when theyre integrating different streams of data? We will explore the fundamentals of service design in this lecture/studio class. In the first part of the class, well begin with a set of modules on tools and practices of service design. Then, youll put them to use in a group project, in which you design and prototype a service. Our goals (and the objectives of this class) will be to learn service design fundamentals by hypothesizing, experimenting, building, testing our assumptions, sometimes failing, tweaking, and improving. Some great visitors will join us too, in person and virtually, to provide real-world insights about service design.",None,None,Designing for Service,12.0,Design,"Steenson, Molly",Graduate,51-785
599,"This course is for students considering how their work can contribute to a positive societal shift. Through a mix of lecture, readings, classroom activities and short field assignments, the course covers models of change, and methods, approaches, and skills that support the emergence of new social patterns. Such work necessarily involves diverse stakeholders, the complexity of human relationships and beliefs, and the challenges of power, conflict, exclusion and inequity. For that reason, this course helps students make first steps in preparing to facilitate creative change among diverse stakeholdersattending to the conditions for generative dialogue, listening to all voices, and hosting the long process of co-creation.",None,None,Design Center: Co-Designing for Social Innovation,6.0,Design,"Rettig, Marc",Graduate,51-884
600,"This course focuses on designing experiences that engage people in educational activities that enhance their learning through meaningful, memorable, and enjoyable interactions with information. Throughout the course, students investigate the intersection of design thinking, UI/UX design, cognitive studies, social sciences, instructional design, and educational pedagogy as a way of developing knowledge and skills in designing experiences for learners. Students study topics that are often difficult to grasp and collaboratively build a taxonomy of content types based on common and differentiating characteristics to identify design opportunities. Through readings, projects, and class exercises, students explore how people perceive and process information, what motivates them to learn, and what constitutes an experience. The course introduces students to traditional and emergent learning tools and methods as a means of defining affordances and limitations of various learning approaches and mediums. It also provides students the opportunity to apply what they learn through the design, testing, and assessment of learning experiences that they create.",None,None,Learner Experience Design,12.0,Design,"Rohrbach, Stacie",Graduate,51-886
601,"Transition Design: Designing for Systems-Level Change. This course will provide an overview of the emerging field of Transition Design, which proposes societal transitions toward more sustainable futures. The idea of intentional (designed) societal transitions has become a global meme and involves an understanding of the complex dynamics of whole systems which form the context for many of todays wicked problems (climate change, loss of biodiversity, pollution, growing gap between rich/poor, etc.).Through a mix of lecture, readings, classroom activities and projects, students will be introduced to the emerging Transition Design process which focuses on framing problems in large, spatio-temporal contexts, resolving conflict among stakeholder groups and facilitating the co-creation of desirable, long-term futures. This course will prepare students for work in transdisciplinary teams to address large, societal problems that require a deep understanding of the anatomy and dynamics of complex systems.",None,None,Transition Design,18.0,Design,"Irwin, Terry",Graduate,51-904
602,"Introduction of techniques to support doctoral students in framing research projects geared toward steering sustainable change in the world. Spanning 7 weeks, this course helps to frame research contexts, define research questions, plan methodological approaches, and speculate upon outcomes and their impacts. Coursework includes the development of a PhD Research Proposal.",None,None,Framing Proposals for Change,9.0,Design,"Chapman, Jonathan",Graduate,51-914
603,"Learn how to think more effectively about worlds to come by actually making and visiting them. In this mind-bending and horizon-expanding mini course, you will learn how to imagine like a futurist and develop a Time Machine -- an immersive, live future scenario for storytelling and community activation. The class is designed to delight and challenge creators, makers, performers, explorers,and provocateurs of all backgrounds, via transmedia creativity, deep collaboration, studio work, and real-world deployment.",None,None,Experiential Futures,12.0,Design,"Candy, Stuart",Graduate,51-874
604,Continuation of Design Doctoral Research for sixth semester Design PhD students.,None,None,Research IV,,Design,"Kossoff, Gideon",Graduate,51-924
605,"Research, writing and completion of doctoral thesis.",None,None,Research VI,,Design,"Kossoff, Gideon",Graduate,51-926
606,Design Doctoral students present and discuss their thesis progress to date.,None,None,Progress Reviews II,0.0,Design,"Kossoff, Gideon",Graduate,51-952
607,"This course equips students with the tools and methods to vision and model system-level change, over time. Students will explore future-focused design practices, couple with training in futuring and foresight techniques and methods. Coursework includes the development of a Time Machine -- an immersive, future scenario for storytelling and research activation developed in collaboration with others. This course is intended for Design Doctoral students.",None,None,Experiential Futures,9.0,Design,"Candy, Stuart",Graduate,51-974
608,Review of doctoral thesis.,None,None,Progress Reviews IV,0.0,Design,"Kossoff, Gideon",Graduate,51-956
609,Design PhD students gather for an intensive design problem-solving workshop.,None,None,Design Research Intensive III,,Design,"Kossoff, Gideon",Graduate,51-984
610,Third year Design Doctoral Students  present their thesis progress to peers and advisors.,None,None,Progress Reviews III,,Design,"Kossoff, Gideon",Graduate,51-954
611,Missing Course Description - please contact the teaching department.,None,None,Study Abroad,0.0,Dietrich College Information Systems,Instructor TBA,Freshman,67-051
612,"Even the best technologist has to rely on soft skills in their lives and jobs-whether they want a team member to take their constructive feedback or an angel investor to understand why their product is better than the competition. Classes will cover delivering engaging presentations, writing emails co-workers want to read, conducting meetings and workshops, delivering criticism and more. This mini course requires students to participate in a combination of short readings, in-class simulations, theater exercises, individual and group projects to practice soft skills. This course has some space available to students outside of the Information Systems program.",None,None,The Softer Side of Software,6.0,Dietrich College Information Systems,"Gray, Brian",Sophomore,67-202
613,"Information systems (IS) are changing work practices, reshaping organizations, transforming cultures, and giving new meaning to the ways we see the world. This course is designed to help students understand the role of IS in the enterprise and the means by which these systems are created, utilized and maintained. The course will focus on enterprise information architecture including the components of enterprise strategy, business, application, information, and infrastructure layers. This course provides not only a framework for understanding information systems, but also a language to identify their dynamic complexities and interdependencies.",None,None,The Information Systems Milieux,9.0,Dietrich College Information Systems,"Quesenberry, Jeria",Sophomore,67-250
614,"Working closely with a faculty advisor and framed by a written thesis proposal, students conduct research and develop creative concepts to address significant problems within the context of design for service and social innovation. Typically following an iterative sequence of exploratory, generative, and evaluative research and design, the thesis project culminates in proposed design solutions with a thoroughly documented process and reflection. Projects are reviewed and exhibited at interim and near-completion deadlines in December and April each year. Sequenced with 51-801 Design Thesis in fall. Required of all Master of Design students.",51-801,None,Design Thesis II,18.0,Design,"Hanington, Bruce",Graduate,51-802
615,"This is an introductory course in interaction design, user experience, and the process of designing for people and technologies. The course introduces students to basic human-centered design research and concept development in the development of digital, service, and user experiences. Students also develop component skills in user interface design. Coursework promotes design thinking and practice for application in tech fields.  Offered only on the Qatar campus.",None,None,TBA,9.0,Dietrich College Information Systems,"Hagan, Susan",Sophomore,67-265
616,"The course provides the overall knowledge of how Information Technology departments are managed in organizations of all sizes. It is about the technology people, the necessary best practice processes, and how innovation occurs transforming organizations in the way they operate and compete.",None,None,Special Topics: Management of Computer and Information Systems,6.0,Dietrich College Information Systems,"Kowalsky, Christopher",Junior,67-306
617,"This course provides a strong foundation in user-centered design and the engineering of web accessibility. The student will gain expertise in methodologies and toolkits for designing, prototyping, and evaluating a web site ensuring that the content is equally accessible to people with disabilities. Upon successful completion of this course, the student will be able to discuss standards and metrics for use in web development projects and be proficient in different stages of the project life cycle including data gathering methods, analysis techniques, requirements specifications, application of universal design principles, prototyping, and testing for usability and WCAG (Web Content Accessibility Guidelines) compliance. A term-long individual project will involve analysis of an organizations website for compliance with WCAG 2.1 guidelines, design and development of an improved prototype, and usability studies of the prototype",67-240 or 67-272,None,A Web For Everyone,9.0,Dietrich College Information Systems,"Liginlal, Divakaran",Junior,67-315
618,"This course introduces the fundamental concepts of the information technology audit and control function. The main focus of this course is on understanding information controls, the types of controls and their impact on the organization, and how to manage and audit them. The concepts and techniques used in information technology audits will be presented. Students will learn the process of creating a control structure with goals and objectives, audit an information technology infrastructure against it, and establish a systematic remediation procedure for any inadequacies. The challenge of dealing with best practices, standards, and regulatory requirements governing information and controls is addressed.",67-272,None,Digital Risk Management and Auditing,9.0,Dietrich College Information Systems,"Vatanasakdakul, Savanid  Nui",Junior,67-313
619,"Geographical Information Systems (GIS) allow us to visualize information that uses location. Through displaying layers of information in computer generated maps, we can see, analyze, understand and explore spatial patterns and relationships in new and novel ways. People in many different fields use Geographical Information Systems in their work: for visualizing the environment, human development, demographics, traffic and transportation, public health and many more. In this course, students will learn the basics of GIS through hands-on experience with popular mapping tools. Sources of data, principles of coordinate and projection systems and elementary geo-analysis techniques will be included. Upon completion of the course, students will have the background to begin using GIS techniques in their own areas of interest and will be prepared for further study in advanced GIs courses.",None,None,Introduction to Geographical Information Systems,6.0,Dietrich College Information Systems,"Weinberg, Randy",Sophomore,67-279
620,"This course is by invitation only for participants in the Technology Consulting in the Global Community program. For information on the program and how to apply, see http://cmu.edu/tcingc.",None,None,Global Technology Consulting Groundwork,3.0,Dietrich College Information Systems,"Mertz, Joseph",Junior,67-319
621,"Enterprise systems are the trend of software today in the industry. By integrating various functions of an enterprise, Enterprise systems improve the performance of business processes.  This course discusses role and function of Enterprise resource planning (ERP) systems; how they fit into an organization; analyzing business processes and ERP implementation; the ethical, global and security issues of ERP implementation; hand-on use of ERP software; ERP vendors and industry trends are also studied.   Software practice and ERP case analysis are required. Prereq of 67272 or permission of instructor.",67-272,None,TBA,9.0,Dietrich College Information Systems,"Charfi, Anis",Junior,67-323
622,"This course provides students with the concepts and techniques to design and develop software applications, and to understand the design process. Students will learn the importance of user-centered design and will develop a prototype of a web application as a course project. In the process of developing the application, students will learn how to design and create relational databases, how to acquire competency in new programming languages quickly, how to use the Model-View-Controller pattern to develop software applications, how to ensure technical quality in software development, and how to apply principles of user-centered design. This course is a required professional core course and is open only to sophomores and juniors in the IS major who have completed 67-250 or equivalent.",(15-122 or 15-121) and (67-262),None,Application Design and Development,9.0,Dietrich College Information Systems,"Heimann, Larry",Sophomore,67-272
623,"This course teaches the basic techniques and practical skills required to make sense out of a variety of data, with the help of the most acclaimed software tools in the data science world: pandas, numpy, scipy, scikit-learn, etc.  Thanks to a new set of software tools that allows to easily process and analyze data at scale, we are now able to extract invaluable insights from the vast amount of data generated daily. As a result, both the business and scientific world are undergoing a revolution which is fueled by one of the most sought after job profiles: the data scientist.",None,None,Introduction to Data Analysis,,Dietrich College Information Systems,"Bouamor, Houda",Junior,67-335
624,"User-Centered Web Redesign builds on the students knowledge of design fundamentals, adding a stronger focus on user studies and usability testing. Our object of study is the redesign the website created as the final projects in Database Design and Development in order to synthesize design thinking as a system that not only functions on the back end but also on the front. Students engage in user studies by first developing an hypothesis of the user that they test through interviews and observations, leading to a revised hypothesis that more fully appreciates the users goals, tasks, and internal barriers. Students will use these insights to develop site architecture through card sorting for organization, stress testing for navigation, and label testing for language use. The architecture of the site will then be explored for the visual/verbal communication design needed to help users perform tasks that meet their goals, which students will confirm through usability testing. Students will not only gain a stronger understanding of why I am not the user, they will also gain insights concerning the complex features that inform a fully functional site.",67-262 and 67-265,None,User-Centered Web Design,9.0,Dietrich College Information Systems,"Hagan, Susan",Junior,67-339
625,"From empirical, to theoretical, to computational science, we are at the dawn of a new revolution---a fourth paradigm of science driven by data.  Like archaeological remnants, data, by its very nature, is a marker of what happened in the past. How can data be used to better understand this past and what is happening in the present?  How can data be leveraged to forecast what will happen in the future? Better still, how can data be used to mold what should happen in the future? In this course we will study descriptive, predictive, and prescriptive methods by which data can be used to gain insight and inform actions of people and organizations.  The real excitement of data science is in the doing.  This is an application oriented course requiring skill in algorithmic problem solving. We will use Python based data science tools.  While prior programming experience with Python will be helpful the course will strive to be self-contained.  If you have not programmed in Python before, you need to be comfortable programming in some language (e.g., Ruby, R, Java, C++) and will need to come up to speed with the Pythonic way of problem solving.",(36-200 or 36-201) and (15-112),None,Practical Data Science,9.0,Dietrich College Information Systems,"Sooriamurthi, Raja",Junior,67-364
626,"Information Systems (IS) Consulting Project is a junior level team-based course that focuses on working as a team to build a solution to meet the needs of a client. With your teammates, you will work with an actual client to design, build, and deliver an information system solution while following a disciplined software project life cycle approach. By terms end, your team must provide a sustainable solution that fits the clients objectives, organization constraints and capabilities",67-272,None,Information Systems Consulting Project,12.0,Dietrich College Information Systems,"Mertz, Joseph",Junior,67-373
